county, state, country, county_full
"Abbeville","SC","US","Abbeville County"
"Acadia","LA","US","Acadia Parish"
"Accomack","VA","US","Accomack County"
"Ada","ID","US","Ada County"
"Adair","IA","US","Adair County"
"Adair","KY","US","Adair County"
"Adair","MO","US","Adair County"
"Adair","OK","US","Adair County"
"Adams","CO","US","Adams County"
"Adams","IA","US","Adams County"
"Adams","ID","US","Adams County"
"Adams","IL","US","Adams County"
"Adams","IN","US","Adams County"
"Adams","MS","US","Adams County"
"Adams","ND","US","Adams County"
"Adams","NE","US","Adams County"
"Adams","OH","US","Adams County"
"Adams","PA","US","Adams County"
"Adams","WA","US","Adams County"
"Adams","WI","US","Adams County"
"Addison","VT","US","Addison County"
"Adjuntas","PR","US","Adjuntas Municipio"
"Aguada","PR","US","Aguada Municipio"
"Aguadilla","PR","US","Aguadilla Municipio"
"Aguas Buenas","PR","US","Aguas Buenas Municipio"
"Aibonito","PR","US","Aibonito Municipio"
"Aiken","SC","US","Aiken County"
"Aitkin","MN","US","Aitkin County"
"Alachua","FL","US","Alachua County"
"Alamance","NC","US","Alamance County"
"Alameda","CA","US","Alameda County"
"Alamosa","CO","US","Alamosa County"
"Albany","NY","US","Albany County"
"Albany","WY","US","Albany County"
"Albemarle","VA","US","Albemarle County"
"Alcona","MI","US","Alcona County"
"Alcorn","MS","US","Alcorn County"
"Aleutians East","AK","US","Aleutians East Borough"
"Aleutians West","AK","US","Aleutians West Census Area"
"Alexander","IL","US","Alexander County"
"Alexander","NC","US","Alexander County"
"Alexandria","VA","US","Alexandria city"
"Alfalfa","OK","US","Alfalfa County"
"Alger","MI","US","Alger County"
"Allamakee","IA","US","Allamakee County"
"Allegan","MI","US","Allegan County"
"Allegany","MD","US","Allegany County"
"Allegany","NY","US","Allegany County"
"Alleghany","NC","US","Alleghany County"
"Alleghany","VA","US","Alleghany County"
"Allegheny","PA","US","Allegheny County"
"Allen","IN","US","Allen County"
"Allen","KS","US","Allen County"
"Allen","KY","US","Allen County"
"Allen","LA","US","Allen Parish"
"Allen","OH","US","Allen County"
"Allendale","SC","US","Allendale County"
"Alpena","MI","US","Alpena County"
"Alpine","CA","US","Alpine County"
"Amador","CA","US","Amador County"
"Amelia","VA","US","Amelia County"
"Amherst","VA","US","Amherst County"
"Amite","MS","US","Amite County"
"Añasco","PR","US","Añasco Municipio"
"Anchorage","AK","US","Anchorage Municipality"
"Anderson","KS","US","Anderson County"
"Anderson","KY","US","Anderson County"
"Anderson","SC","US","Anderson County"
"Anderson","TN","US","Anderson County"
"Anderson","TX","US","Anderson County"
"Andrew","MO","US","Andrew County"
"Andrews","TX","US","Andrews County"
"Androscoggin","ME","US","Androscoggin County"
"Angelina","TX","US","Angelina County"
"Anne Arundel","MD","US","Anne Arundel County"
"Anoka","MN","US","Anoka County"
"Anson","NC","US","Anson County"
"Antelope","NE","US","Antelope County"
"Antrim","MI","US","Antrim County"
"Apache","AZ","US","Apache County"
"Appanoose","IA","US","Appanoose County"
"Appling","GA","US","Appling County"
"Appomattox","VA","US","Appomattox County"
"Aransas","TX","US","Aransas County"
"Arapahoe","CO","US","Arapahoe County"
"Archer","TX","US","Archer County"
"Archuleta","CO","US","Archuleta County"
"Arecibo","PR","US","Arecibo Municipio"
"Arenac","MI","US","Arenac County"
"Arkansas","AR","US","Arkansas County"
"Arlington","VA","US","Arlington County"
"Armstrong","PA","US","Armstrong County"
"Armstrong","TX","US","Armstrong County"
"Aroostook","ME","US","Aroostook County"
"Arroyo","PR","US","Arroyo Municipio"
"Arthur","NE","US","Arthur County"
"Ascension","LA","US","Ascension Parish"
"Ashe","NC","US","Ashe County"
"Ashland","OH","US","Ashland County"
"Ashland","WI","US","Ashland County"
"Ashley","AR","US","Ashley County"
"Ashtabula","OH","US","Ashtabula County"
"Asotin","WA","US","Asotin County"
"Assumption","LA","US","Assumption Parish"
"Atascosa","TX","US","Atascosa County"
"Atchison","KS","US","Atchison County"
"Atchison","MO","US","Atchison County"
"Athens","OH","US","Athens County"
"Atkinson","GA","US","Atkinson County"
"Atlantic","NJ","US","Atlantic County"
"Atoka","OK","US","Atoka County"
"Attala","MS","US","Attala County"
"Audrain","MO","US","Audrain County"
"Audubon","IA","US","Audubon County"
"Auglaize","OH","US","Auglaize County"
"Augusta","VA","US","Augusta County"
"Aurora","SD","US","Aurora County"
"Austin","TX","US","Austin County"
"Autauga","AL","US","Autauga County"
"Avery","NC","US","Avery County"
"Avoyelles","LA","US","Avoyelles Parish"
"Baca","CO","US","Baca County"
"Bacon","GA","US","Bacon County"
"Bailey","TX","US","Bailey County"
"Baker","FL","US","Baker County"
"Baker","GA","US","Baker County"
"Baker","OR","US","Baker County"
"Baldwin","AL","US","Baldwin County"
"Baldwin","GA","US","Baldwin County"
"Ballard","KY","US","Ballard County"
"Baltimore","MD","US","Baltimore city"
"Baltimore","MD","US","Baltimore County"
"Bamberg","SC","US","Bamberg County"
"Bandera","TX","US","Bandera County"
"Banks","GA","US","Banks County"
"Banner","NE","US","Banner County"
"Bannock","ID","US","Bannock County"
"Baraga","MI","US","Baraga County"
"Barber","KS","US","Barber County"
"Barbour","AL","US","Barbour County"
"Barbour","WV","US","Barbour County"
"Barceloneta","PR","US","Barceloneta Municipio"
"Barnes","ND","US","Barnes County"
"Barnstable","MA","US","Barnstable County"
"Barnwell","SC","US","Barnwell County"
"Barranquitas","PR","US","Barranquitas Municipio"
"Barren","KY","US","Barren County"
"Barron","WI","US","Barron County"
"Barrow","GA","US","Barrow County"
"Barry","MI","US","Barry County"
"Barry","MO","US","Barry County"
"Bartholomew","IN","US","Bartholomew County"
"Barton","KS","US","Barton County"
"Barton","MO","US","Barton County"
"Bartow","GA","US","Bartow County"
"Bastrop","TX","US","Bastrop County"
"Bates","MO","US","Bates County"
"Bath","KY","US","Bath County"
"Bath","VA","US","Bath County"
"Baxter","AR","US","Baxter County"
"Bay","FL","US","Bay County"
"Bay","MI","US","Bay County"
"Bayamón","PR","US","Bayamón Municipio"
"Bayfield","WI","US","Bayfield County"
"Baylor","TX","US","Baylor County"
"Beadle","SD","US","Beadle County"
"Bear Lake","ID","US","Bear Lake County"
"Beaufort","NC","US","Beaufort County"
"Beaufort","SC","US","Beaufort County"
"Beauregard","LA","US","Beauregard Parish"
"Beaver","OK","US","Beaver County"
"Beaver","PA","US","Beaver County"
"Beaver","UT","US","Beaver County"
"Beaverhead","MT","US","Beaverhead County"
"Becker","MN","US","Becker County"
"Beckham","OK","US","Beckham County"
"Bedford","PA","US","Bedford County"
"Bedford","TN","US","Bedford County"
"Bedford","VA","US","Bedford County"
"Bee","TX","US","Bee County"
"Belknap","NH","US","Belknap County"
"Bell","KY","US","Bell County"
"Bell","TX","US","Bell County"
"Belmont","OH","US","Belmont County"
"Beltrami","MN","US","Beltrami County"
"Ben Hill","GA","US","Ben Hill County"
"Benewah","ID","US","Benewah County"
"Bennett","SD","US","Bennett County"
"Bennington","VT","US","Bennington County"
"Benson","ND","US","Benson County"
"Bent","CO","US","Bent County"
"Benton","AR","US","Benton County"
"Benton","IA","US","Benton County"
"Benton","IN","US","Benton County"
"Benton","MN","US","Benton County"
"Benton","MO","US","Benton County"
"Benton","MS","US","Benton County"
"Benton","OR","US","Benton County"
"Benton","TN","US","Benton County"
"Benton","WA","US","Benton County"
"Benzie","MI","US","Benzie County"
"Bergen","NJ","US","Bergen County"
"Berkeley","SC","US","Berkeley County"
"Berkeley","WV","US","Berkeley County"
"Berks","PA","US","Berks County"
"Berkshire","MA","US","Berkshire County"
"Bernalillo","NM","US","Bernalillo County"
"Berrien","GA","US","Berrien County"
"Berrien","MI","US","Berrien County"
"Bertie","NC","US","Bertie County"
"Bethel","AK","US","Bethel Census Area"
"Bexar","TX","US","Bexar County"
"Bibb","AL","US","Bibb County"
"Bibb","GA","US","Bibb County"
"Bienville","LA","US","Bienville Parish"
"Big Horn","MT","US","Big Horn County"
"Big Horn","WY","US","Big Horn County"
"Big Stone","MN","US","Big Stone County"
"Billings","ND","US","Billings County"
"Bingham","ID","US","Bingham County"
"Black Hawk","IA","US","Black Hawk County"
"Blackford","IN","US","Blackford County"
"Bladen","NC","US","Bladen County"
"Blaine","ID","US","Blaine County"
"Blaine","MT","US","Blaine County"
"Blaine","NE","US","Blaine County"
"Blaine","OK","US","Blaine County"
"Blair","PA","US","Blair County"
"Blanco","TX","US","Blanco County"
"Bland","VA","US","Bland County"
"Bleckley","GA","US","Bleckley County"
"Bledsoe","TN","US","Bledsoe County"
"Blount","AL","US","Blount County"
"Blount","TN","US","Blount County"
"Blue Earth","MN","US","Blue Earth County"
"Boise","ID","US","Boise County"
"Bolivar","MS","US","Bolivar County"
"Bollinger","MO","US","Bollinger County"
"Bon Homme","SD","US","Bon Homme County"
"Bond","IL","US","Bond County"
"Bonner","ID","US","Bonner County"
"Bonneville","ID","US","Bonneville County"
"Boone","AR","US","Boone County"
"Boone","IA","US","Boone County"
"Boone","IL","US","Boone County"
"Boone","IN","US","Boone County"
"Boone","KY","US","Boone County"
"Boone","MO","US","Boone County"
"Boone","NE","US","Boone County"
"Boone","WV","US","Boone County"
"Borden","TX","US","Borden County"
"Bosque","TX","US","Bosque County"
"Bossier","LA","US","Bossier Parish"
"Botetourt","VA","US","Botetourt County"
"Bottineau","ND","US","Bottineau County"
"Boulder","CO","US","Boulder County"
"Boundary","ID","US","Boundary County"
"Bourbon","KS","US","Bourbon County"
"Bourbon","KY","US","Bourbon County"
"Bowie","TX","US","Bowie County"
"Bowman","ND","US","Bowman County"
"Box Butte","NE","US","Box Butte County"
"Box Elder","UT","US","Box Elder County"
"Boyd","KY","US","Boyd County"
"Boyd","NE","US","Boyd County"
"Boyle","KY","US","Boyle County"
"Bracken","KY","US","Bracken County"
"Bradford","FL","US","Bradford County"
"Bradford","PA","US","Bradford County"
"Bradley","AR","US","Bradley County"
"Bradley","TN","US","Bradley County"
"Branch","MI","US","Branch County"
"Brantley","GA","US","Brantley County"
"Braxton","WV","US","Braxton County"
"Brazoria","TX","US","Brazoria County"
"Brazos","TX","US","Brazos County"
"Breathitt","KY","US","Breathitt County"
"Breckinridge","KY","US","Breckinridge County"
"Bremer","IA","US","Bremer County"
"Brevard","FL","US","Brevard County"
"Brewster","TX","US","Brewster County"
"Briscoe","TX","US","Briscoe County"
"Bristol","MA","US","Bristol County"
"Bristol","RI","US","Bristol County"
"Bristol","VA","US","Bristol city"
"Bristol Bay","AK","US","Bristol Bay Borough"
"Broadwater","MT","US","Broadwater County"
"Bronx","NY","US","Bronx County"
"Brooke","WV","US","Brooke County"
"Brookings","SD","US","Brookings County"
"Brooks","GA","US","Brooks County"
"Brooks","TX","US","Brooks County"
"Broome","NY","US","Broome County"
"Broomfield","CO","US","Broomfield County"
"Broward","FL","US","Broward County"
"Brown","IL","US","Brown County"
"Brown","IN","US","Brown County"
"Brown","KS","US","Brown County"
"Brown","MN","US","Brown County"
"Brown","NE","US","Brown County"
"Brown","OH","US","Brown County"
"Brown","SD","US","Brown County"
"Brown","TX","US","Brown County"
"Brown","WI","US","Brown County"
"Brule","SD","US","Brule County"
"Brunswick","NC","US","Brunswick County"
"Brunswick","VA","US","Brunswick County"
"Bryan","GA","US","Bryan County"
